,words
0,ha
1,no
2,ass
3,axe
4,bad
5,ban
6,big
7,cry
8,cut
9,die
10,dud
11,fad
12,fag
13,fan
14,fit
15,flu
16,ftw
17,fud
18,fun
19,gag
20,god
21,gun
22,hid
23,hug
24,ill
25,joy
26,lag
27,law
28,lie
29,lol
30,mad
31,may
32,odd
33,oks
34,pay
35,rig
36,rob
37,sad
38,shy
39,sue
40,top
41,war
42,win
43,won
44,woo
45,wow
46,wtf
47,yes
48,144a
49,1933
50,1986
51,2002
52,able
53,ache
54,acid
55,afdb
56,agog
57,alas
58,ante
59,anti
60,anxi
61,arab
62,area
63,arms
64,aval
65,avid
66,axed
67,back
68,bail
69,balk
70,bank
71,bans
72,base
73,bear
74,best
75,beta
76,bias
77,bill
78,blah
79,bloc
80,blue
81,bold
82,bomb
83,bona
84,bond
85,book
86,boom
87,bore
88,bowl
89,bull
90,bust
91,call
92,calm
93,capm
94,care
95,case
96,cash
97,cccn
98,chic
99,club
100,cock
101,code
102,cone
103,cool
104,core
105,cost
106,crap
107,crts
108,csos
109,cunt
110,cute
111,cuts
112,damn
113,data
114,date
115,dead
116,dear
117,debt
118,deep
119,deny
120,desk
121,dfid
122,dick
123,died
124,dire
125,dirt
126,disc
127,dock
128,doom
129,down
130,drag
131,drip
132,drop
133,drug
134,dual
135,dull
136,duly
137,dumb
138,dump
139,dupe
140,duty
141,eafe
142,ease
143,east
144,easy
145,ebit
146,ebrd
147,edge
148,eery
149,envy
150,errs
151,euro
152,even
153,evil
154,exit
155,face
156,fact
157,fail
158,fair
159,fake
160,fame
161,fasb
162,fast
163,fear
164,fiat
165,fide
166,fine
167,fire
168,firm
169,flaw
170,flop
171,flow
172,fogs
173,fond
174,food
175,fool
176,form
177,four
178,free
179,fret
180,from
181,ftaa
182,fuck
183,full
184,fund
185,gaap
186,gain
187,game
188,gatt
189,gift
190,gini
191,glad
192,glee
193,glum
194,gold
195,good
196,gray
197,grew
198,grey
199,grow
200,haha
201,hail
202,halt
203,hard
204,harm
205,hate
206,hell
207,help
208,hero
209,hide
210,high
211,hipc
212,hoax
213,home
214,hope
215,host
216,huge
217,hugs
218,hurt
219,iadb
220,iapm
221,idle
222,item
